Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
OrangeHRM,Chrome 68.0.3440.75,,2018-08-13 16:22:56,2018-08-13 16:23:22,25.714s,FAILED
,,,,,,
Test Cases/OrangeHRM/Search,Chrome 68.0.3440.75,,2018-08-13 16:22:57,2018-08-13 16:23:10,13.688s,FAILED
openBrowser,Chrome 68.0.3440.75,,2018-08-13 16:22:57,2018-08-13 16:23:01,3.719s,PASSED
navigateToUrl,Chrome 68.0.3440.75,,2018-08-13 16:23:01,2018-08-13 16:23:04,3.471s,PASSED
setText,Chrome 68.0.3440.75,,2018-08-13 16:23:04,2018-08-13 16:23:04,0.161s,PASSED
setEncryptedText,Chrome 68.0.3440.75,,2018-08-13 16:23:04,2018-08-13 16:23:05,0.143s,PASSED
click,Chrome 68.0.3440.75,,2018-08-13 16:23:05,2018-08-13 16:23:08,3.490s,PASSED
click,Chrome 68.0.3440.75,,2018-08-13 16:23:08,2018-08-13 16:23:09,1.278s,PASSED
setText,Chrome 68.0.3440.75,,2018-08-13 16:23:09,2018-08-13 16:23:09,0.099s,PASSED
click,Chrome 68.0.3440.75,,2018-08-13 16:23:09,2018-08-13 16:23:10,0.474s,PASSED
click,Chrome 68.0.3440.75,,2018-08-13 16:23:10,2018-08-13 16:23:10,0.085s,PASSED
click,Chrome 68.0.3440.75,,2018-08-13 16:23:10,2018-08-13 16:23:10,0.359s,FAILED
,,,,,,
Test Cases/OrangeHRM/ValidLogin,Chrome 68.0.3440.75,,2018-08-13 16:23:10,2018-08-13 16:23:21,10.613s,FAILED
openBrowser,Chrome 68.0.3440.75,,2018-08-13 16:23:11,2018-08-13 16:23:13,2.656s,PASSED
navigateToUrl,Chrome 68.0.3440.75,,2018-08-13 16:23:13,2018-08-13 16:23:17,3.536s,PASSED
setText,Chrome 68.0.3440.75,,2018-08-13 16:23:17,2018-08-13 16:23:17,0.119s,PASSED
setEncryptedText,Chrome 68.0.3440.75,,2018-08-13 16:23:17,2018-08-13 16:23:17,0.082s,PASSED
click,Chrome 68.0.3440.75,,2018-08-13 16:23:17,2018-08-13 16:23:21,3.631s,PASSED
click,Chrome 68.0.3440.75,,2018-08-13 16:23:21,2018-08-13 16:23:21,0.088s,PASSED
click,Chrome 68.0.3440.75,,2018-08-13 16:23:21,2018-08-13 16:23:21,0.358s,FAILED
