Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
OrangeHRM,Chrome 68.0.3440.75,,2018-08-13 16:41:18,2018-08-13 16:41:43,25.539s,PASSED
,,,,,,
Test Cases/OrangeHRM/Search,Chrome 68.0.3440.75,,2018-08-13 16:41:18,2018-08-13 16:41:33,14.806s,PASSED
openBrowser,Chrome 68.0.3440.75,,2018-08-13 16:41:19,2018-08-13 16:41:23,4.269s,PASSED
navigateToUrl,Chrome 68.0.3440.75,,2018-08-13 16:41:23,2018-08-13 16:41:27,3.458s,PASSED
setText,Chrome 68.0.3440.75,,2018-08-13 16:41:27,2018-08-13 16:41:27,0.184s,PASSED
setEncryptedText,Chrome 68.0.3440.75,,2018-08-13 16:41:27,2018-08-13 16:41:27,0.154s,PASSED
click,Chrome 68.0.3440.75,,2018-08-13 16:41:27,2018-08-13 16:41:31,3.589s,PASSED
click,Chrome 68.0.3440.75,,2018-08-13 16:41:31,2018-08-13 16:41:32,1.309s,PASSED
setText,Chrome 68.0.3440.75,,2018-08-13 16:41:32,2018-08-13 16:41:32,0.123s,PASSED
click,Chrome 68.0.3440.75,,2018-08-13 16:41:32,2018-08-13 16:41:32,0.501s,PASSED
click,Chrome 68.0.3440.75,,2018-08-13 16:41:32,2018-08-13 16:41:33,0.080s,PASSED
closeBrowser,Chrome 68.0.3440.75,,2018-08-13 16:41:33,2018-08-13 16:41:33,0.662s,PASSED
,,,,,,
Test Cases/OrangeHRM/ValidLogin,Chrome 68.0.3440.75,,2018-08-13 16:41:33,2018-08-13 16:41:43,10.087s,PASSED
openBrowser,Chrome 68.0.3440.75,,2018-08-13 16:41:33,2018-08-13 16:41:35,1.997s,PASSED
navigateToUrl,Chrome 68.0.3440.75,,2018-08-13 16:41:35,2018-08-13 16:41:39,3.471s,PASSED
setText,Chrome 68.0.3440.75,,2018-08-13 16:41:39,2018-08-13 16:41:39,0.125s,PASSED
setEncryptedText,Chrome 68.0.3440.75,,2018-08-13 16:41:39,2018-08-13 16:41:39,0.093s,PASSED
click,Chrome 68.0.3440.75,,2018-08-13 16:41:39,2018-08-13 16:41:43,3.518s,PASSED
click,Chrome 68.0.3440.75,,2018-08-13 16:41:43,2018-08-13 16:41:43,0.081s,PASSED
closeBrowser,Chrome 68.0.3440.75,,2018-08-13 16:41:43,2018-08-13 16:41:43,0.671s,PASSED
